City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
128,Vila Velha,BR,2020-05-08 21:19:27,-20.33,-40.29,72.0,73,40,10.29
129,Airai,TL,2020-05-08 21:17:43,-8.93,125.41,56.71,100,16,3.44
130,Sitka,US,2020-05-08 21:15:11,57.05,-135.33,57.2,47,75,3.36
131,Sarangani,PH,2020-05-08 21:15:50,5.4,125.46,83.55,78,4,7.0
132,Cape Town,ZA,2020-05-08 21:14:18,-33.93,18.42,66.0,93,0,11.41
133,Sao Joao Da Barra,BR,2020-05-08 21:20:26,-21.64,-41.05,71.6,77,0,4.7
134,Itarema,BR,2020-05-08 21:16:05,-2.92,-39.92,79.18,88,60,6.58
135,Mitsamiouli,KM,2020-05-08 21:19:04,-11.38,43.28,80.96,78,33,13.98
136,Tripoli,LY,2020-05-08 21:16:35,32.88,13.19,68.77,54,67,23.49
137,Berlevag,NO,2020-05-08 21:20:26,70.86,29.09,28.4,79,100,14.99
138,Lavrentiya,RU,2020-05-08 21:20:27,65.58,-171.0,35.8,84,74,13.76
139,Kodiak,US,2020-05-08 21:19:00,57.79,-152.41,44.6,93,90,17.22
140,Hasaki,JP,2020-05-08 21:18:08,35.73,140.83,60.01,76,75,8.05
141,Nizwa,OM,2020-05-08 21:20:27,22.93,57.53,84.24,26,0,2.01
142,Chaohu,CN,2020-05-08 21:20:27,31.6,117.87,63.0,93,75,8.95
143,Stuttgart,DE,2020-05-08 21:18:09,48.78,9.18,63.0,54,100,2.24
144,Saint-Philippe,RE,2020-05-08 21:14:14,-21.36,55.77,71.6,60,97,11.41
145,Wanning,CN,2020-05-08 21:20:28,18.8,110.4,79.9,92,100,11.14
146,Leh,IN,2020-05-08 21:20:28,34.17,77.58,40.15,58,1,2.26
147,Kingussie,GB,2020-05-08 21:20:28,57.08,-4.05,50.0,93,27,1.12
148,Yellowknife,CA,2020-05-08 21:17:35,62.46,-114.35,44.6,52,75,16.11
149,Urengoy,RU,2020-05-08 21:15:43,65.97,78.37,46.22,98,100,15.3
150,Indramayu,ID,2020-05-08 21:20:28,-6.33,108.32,80.29,80,100,6.42
151,Port Blair,IN,2020-05-08 21:14:24,11.67,92.75,83.64,77,100,5.06
152,Talnakh,RU,2020-05-08 21:17:55,69.49,88.4,37.4,93,75,17.9
153,Magadan,RU,2020-05-08 21:20:29,59.57,150.8,34.54,86,56,2.82
154,Port Hardy,CA,2020-05-08 21:17:59,50.7,-127.42,62.6,45,20,3.36
155,Ekhabi,RU,2020-05-08 21:20:29,53.51,142.97,32.94,95,100,10.94
156,Lagoa,PT,2020-05-08 21:19:11,39.05,-27.98,60.24,81,71,19.95
157,Dingle,PH,2020-05-08 21:18:47,11.0,122.67,78.3,86,86,5.57
158,Kirkwall,GB,2020-05-08 21:17:13,58.98,-2.96,46.4,87,98,2.24
159,Mayahi,NE,2020-05-08 21:20:30,13.96,7.67,91.49,12,0,9.82
160,Lasa,IT,2020-05-08 21:20:30,46.62,10.7,55.4,66,5,4.7
161,Namibe,AO,2020-05-08 21:18:45,-15.2,12.15,81.43,48,0,2.66
162,Teeli,RU,2020-05-08 21:20:30,51.03,90.23,41.52,62,58,2.44
163,Ruteng,ID,2020-05-08 21:20:30,-8.61,120.47,61.02,97,10,2.15
164,Aktau,KZ,2020-05-08 21:20:30,43.65,51.2,57.2,100,40,6.71
165,Castro,BR,2020-05-08 21:18:43,-24.79,-50.01,53.44,70,0,3.06
166,Georgetown,MY,2020-05-08 21:14:16,5.41,100.34,78.8,94,40,2.24
167,Kloulklubed,PW,2020-05-08 21:20:31,7.04,134.26,80.6,88,90,11.41
168,Tuktoyaktuk,CA,2020-05-08 21:14:18,69.45,-133.04,28.4,74,5,18.34
169,Esperance,AU,2020-05-08 21:17:50,-33.87,121.9,50.0,93,90,5.82
170,Longonjo,AO,2020-05-08 21:20:31,-12.91,15.25,60.62,65,0,3.11
171,Kaitangata,NZ,2020-05-08 21:17:38,-46.28,169.85,46.0,90,45,5.01
172,Ixtapa,MX,2020-05-08 21:20:31,20.7,-105.2,84.2,74,40,14.99
173,Klaksvik,FO,2020-05-08 21:14:47,62.23,-6.59,39.2,64,33,11.41
174,Ivybridge,GB,2020-05-08 21:20:32,50.39,-3.92,59.0,62,1,3.0
175,Saldanha,ZA,2020-05-08 21:17:40,-33.01,17.94,59.0,67,0,4.7
176,Fairbanks,US,2020-05-08 21:16:43,64.84,-147.72,64.0,23,75,17.22
177,Tiksi,RU,2020-05-08 21:14:21,71.69,128.87,15.85,96,100,17.02
178,Geraldton,AU,2020-05-08 21:16:02,-28.77,114.6,53.6,66,6,10.29
179,Daru,PG,2020-05-08 21:20:32,-9.08,143.21,79.11,84,31,14.36
180,Chapais,CA,2020-05-08 21:20:32,49.78,-74.85,30.2,50,90,10.29
181,Dudinka,RU,2020-05-08 21:17:01,69.41,86.18,37.4,93,75,17.9
182,Guerrero Negro,MX,2020-05-08 21:11:24,27.98,-114.06,81.59,36,0,13.06
183,Lompoc,US,2020-05-08 21:17:52,34.64,-120.46,80.6,49,20,8.05
184,Bud,US,2020-05-08 21:20:33,39.45,-86.18,51.01,43,40,14.99
185,Vanersborg,SE,2020-05-08 21:20:33,58.38,12.32,46.0,75,28,5.82
186,Nyurba,RU,2020-05-08 21:14:00,63.28,118.33,22.93,88,2,7.65
187,Juliaca,PE,2020-05-08 21:19:14,-15.5,-70.13,56.39,39,28,9.57
188,Anadyr,RU,2020-05-08 21:20:34,64.75,177.48,37.4,69,97,42.5
189,Chuy,UY,2020-05-08 21:18:18,-33.7,-53.46,55.6,67,0,5.1
190,Emba,KZ,2020-05-08 21:20:34,48.83,58.14,61.92,47,0,12.1
191,Palmer,US,2020-05-08 21:20:34,42.16,-72.33,51.01,64,100,5.01
192,Hornostayivka,UA,2020-05-08 21:20:34,47.01,33.73,52.77,68,73,12.95
193,Chilca,PE,2020-05-08 21:20:34,-12.52,-76.74,69.8,77,40,11.41
194,Kantunilkin,MX,2020-05-08 21:20:35,21.09,-87.45,86.0,66,75,13.87
195,Cardston,CA,2020-05-08 21:14:28,49.2,-113.3,46.99,81,90,20.8
